1942	01	31	BR	EC	5	1	SA	UY	2	1884	1251	0	0	8	87
1942	02	05	BR	PY	1	1	SA	UY	-12	1872	1722	0	+4	8	17
1944	05	14	BR	UY	6	1	F		21	1893	1960	+1	0	9	5
1944	05	18	BR	UY	4	0	F		17	1910	1943	+1	−1	8	6
1945	01	21	BR	CO	3	0	SA	CL	3	1913	1342	0	−2	8	74
1945	01	28	BR	BO	2	0	SA	CL	2	1915	1312	0	−1	8	78
1945	02	07	BR	UY	3	0	SA	CL	48	1963	1900	+3	−4	5	9
1945	02	15	AR	BR	3	1	SA	CL	26	2097	1937	+1	−1	1	6
1945	02	21	BR	EC	9	2	SA	CL	2	1939	1210	0	0	6	92
1945	02	28	CL	BR	0	1	SA		-14	1658	1953	−5	+1	32	5
1945	12	16	BR	AR	3	4	ROC		-14	1939	2089	−1	+1	5	1
1945	12	20	BR	AR	6	2	ROC		32	1971	2057	+1	−1	4	2
1945	12	23	BR	AR	3	1	ROC		22	1993	2035	0	0	4	2
1946	01	05	UY	BR	4	3	RBC		17	1872	1976	0	0	11	4
1946	01	09	UY	BR	1	1	RBC		0	1872	1976	0	0	11	4
1946	01	16	BR	BO	3	0	SA	AR	2	1978	1307	0	−1	4	76
1946	01	23	BR	UY	4	3	SA	AR	18	1996	1865	0	0	4	11
1946	01	29	BR	PY	1	1	SA	AR	-16	1980	1747	0	0	4	16
1946	02	03	BR	CL	5	1	SA	AR	14	1994	1661	0	−2	4	27
1946	02	10	AR	BR	2	0	SA		21	2081	1973	+1	0	1	4
1947	03	29	UY	BR	0	0	RBC		2	1827	1971	0	−1	11	5
1947	04	01	BR	UY	3	2	RBC		6	1977	1821	+2	0	3	11
1948	04	04	UY	BR	1	1	RBC		2	1822	1975	0	0	15	4
1948	04	11	UY	BR	4	2	RBC		26	1848	1949	+2	0	13	4
1949	04	03	BR	EC	9	1	SA		1	1950	1217	0	0	5	97
1949	04	10	BR	BO	10	1	SA		2	1952	1323	0	−2	5	81
1949	04	13	BR	CL	2	1	SA		5	1957	1652	0	0	5	32
1949	04	17	BR	CO	5	0	SA		2	1959	1381	0	−1	5	74
1949	04	24	BR	PE	7	1	SA		9	1968	1643	0	+1	5	31
1949	04	30	BR	UY	5	1	SA		19	1987	1809	0	−1	5	13
1949	05	08	BR	PY	1	2	SA		-39	1948	1904	0	+2	5	8
1949	05	11	BR	PY	7	0	SA		34	1982	1870	0	−1	5	9
1950	05	06	BR	UY	3	4	RBC		-27	1955	1745	−3	+7	6	16
1950	05	07	BR	PY	2	0	OCC		12	1967	1869	+1	0	5	10
1950	05	13	BR	PY	3	3	OCC		-8	1959	1877	0	0	5	10
1950	05	14	BR	UY	3	2	RBC		4	1963	1741	0	0	5	16
1950	05	18	BR	UY	1	0	RBC		4	1967	1737	0	0	5	16
1950	06	24	BR	MX	4	0	WC		23	1990	1811	+2	−1	3	13
1950	06	28	BR	CH	2	2	WC		-25	1965	1698	0	+3	4	24
1950	07	01	BR	YU	2	0	WC		25	1990	1878	0	−1	4	11
1950	07	09	BR	SE	7	1	WC		46	2036	1947	+1	−4	2	6
1950	07	13	BR	ES	6	1	WC		30	2066	1915	0	0	2	7
1950	07	16	BR	UY	1	2	WC		-53	2013	1872	0	+3	2	10
1952	04	06	BR	MX	2	0	PAC	CL	9	2022	1657	0	−1	2	31
1952	04	10	BR	PE	0	0	PAC	CL	-18	2004	1724	0	+4	2	20
1952	04	13	BR	PA	5	0	PAC	CL	4	2008	1435	0	0	2	68
1952	04	16	BR	UY	4	2	PAC	CL	24	2032	1856	0	−1	2	11
1952	04	20	CL	BR	0	3	PAC		-25	1745	2057	−1	0	17	2
1953	03	01	BR	BO	8	1	SA	PE	4	2061	1458	0	0	3	65
1953	03	12	BR	EC	2	0	SA	PE	1	2062	1286	0	−1	3	98
1953	03	15	BR	UY	1	0	SA	PE	10	2072	1820	0	0	3	13
1953	03	19	PE	BR	1	0	SA		41	1757	2031	+2	0	18	3
1953	03	23	BR	CL	3	2	SA	PE	9	2040	1751	0	−2	3	18
1953	03	27	PY	BR	2	1	SA	PE	37	1893	2003	+1	−1	9	4
1953	04	01	PY	BR	3	2	SA	PE	33	1926	1970	+3	0	6	4
1954	02	28	CL	BR	0	2	WQ		-15	1667	1985	−2	0	28	4
1954	03	07	PY	BR	0	1	WQ		-24	1932	2009	−2	+1	7	3
1954	03	14	BR	CL	1	0	WQ		3	2012	1664	0	−1	3	29
1954	03	21	BR	PY	4	1	WQ		18	2030	1914	0	−1	3	8
1954	06	16	BR	MX	5	0	WC	CH	16	2046	1683	0	−1	3	25
1954	06	19	BR	YU	1	1	WC	CH	-8	2038	1959	0	−1	3	7
1954	06	27	HU	BR	4	2	WC	CH	27	2212	2011	0	−1	1	4
1955	09	18	BR	CL	1	1	OHC		-12	1999	1757	−1	+2	4	17
1955	09	20	BR	CL	2	1	OHC		4	2003	1753	0	−2	4	19
1955	11	13	BR	PY	3	0	OCC		8	2011	1798	0	0	3	14
1955	11	17	BR	PY	3	3	OCC		-11	2000	1809	0	0	3	14
1956	01	24	CL	BR	4	1	SA	UY	70	1823	1930	+6	−4	13	7
1956	01	29	BR	PY	0	0	SA	UY	-10	1920	1800	−1	+1	8	14
1956	02	01	BR	PE	2	1	SA	UY	14	1934	1741	+2	−1	6	19
1956	02	05	BR	AR	1	0	SA	UY	38	1972	2100	+2	0	4	2
1956	02	10	UY	BR	0	0	SA		-5	1932	1977	0	0	7	4
1956	03	01	BR	CL	2	1	PAC	MX	17	1994	1839	+1	−1	3	10
1956	03	06	BR	PE	1	0	PAC	MX	11	2005	1771	0	0	3	16
1956	03	08	MX	BR	1	2	PAC		-8	1609	2013	−1	0	40	3
1956	03	13	BR	CR	7	1	PAC	MX	19	2032	1731	0	0	3	20
1956	03	18	AR	BR	2	2	PAC	MX	-2	2053	2034	0	0	2	3
1956	04	08	PT	BR	0	1	F		-4	1670	2038	0	0	28	3
1956	04	11	CH	BR	1	1	F		6	1705	2032	+1	0	24	3
1956	04	15	AT	BR	2	3	F		-10	1907	2042	0	0	8	3
1956	04	21	CS	BR	0	0	F		6	1725	2036	0	0	22	3
1956	04	25	IT	BR	3	0	F		22	1872	2014	0	0	9	3
1956	05	01	TR	BR	0	1	F		-4	1665	2018	0	0	29	3
1956	05	09	EN	BR	4	2	F		13	1980	2005	+1	0	4	3
1956	06	12	PY	BR	0	2	OCC		-13	1743	2018	−1	0	20	3
1956	06	17	PY	BR	2	5	OCC		-14	1729	2032	−1	0	21	3
1956	06	24	BR	UY	2	0	ATL		12	2044	1950	0	−2	3	7
1956	07	01	BR	IT	2	0	F		5	2049	1864	0	0	3	9
1956	07	08	AR	BR	0	0	ATL		-5	2066	2054	0	0	2	3
1956	08	05	BR	CS	0	1	F		-17	2037	1848	0	+1	3	10
1956	08	08	BR	CS	4	1	F		6	2043	1842	0	−1	3	11
1956	12	05	BR	AR	1	2	RCO		-18	2025	2096	0	0	3	2
1957	03	13	BR	CL	4	2	SA	PE	14	2039	1761	0	−1	3	18
1957	03	21	BR	EC	7	1	SA	PE	1	2040	1252	0	0	3	117
1957	03	24	BR	CO	9	0	SA	PE	2	2042	1346	0	−1	3	97
1957	03	28	UY	BR	3	2	SA	PE	35	1937	2007	+1	0	5	3
1957	03	31	PE	BR	0	1	SA		-13	1708	2020	−4	0	23	3
1957	04	03	AR	BR	3	0	SA	PE	31	2159	1989	+1	−1	1	4
1957	04	13	PE	BR	1	1	WQ		8	1754	1981	0	0	18	4
1957	04	21	BR	PE	1	0	WQ		5	1986	1749	0	0	4	18
1957	06	11	BR	PT	2	1	F		2	1988	1693	0	0	4	27
1957	06	16	BR	PT	3	0	F		3	1991	1690	0	0	4	27
1957	07	07	BR	AR	1	2	ROC		-14	1977	2122	0	0	4	1
1957	07	10	BR	AR	2	0	ROC		25	2002	2097	0	−1	4	2
1957	09	15	CL	BR	1	0	OHC		23	1722	1979	+3	0	22	4
